Kategori,Rekening,Jumlah,Tanggal,Catatan,Tipe
Kost,DOMPET,"650,000",2025-05-28 19:20,,-
Tambah Pinjaman,BCA Blu,"150,000",2025-05-26 15:52,Liquid ,-
Belanja,DOMPET,"25,000",2025-05-25 20:47,Sabuk,-
Bensin,DOMPET,"50,000",2025-05-25 20:47,,-
Minuman,MANDIRI,"60,000",2025-05-25 20:47,Nonton seblak eskrim ,-
Tagih Hutang,BANK BRI,"200,000",2025-05-25 09:02,,+
Tambah Pinjaman,BANK BRI,"200,000",2025-05-25 00:56,Beli Coil,-
Tagih Hutang,MANDIRI,"300,000",2025-05-23 11:40,,+
Laundry,DOMPET,"50,000",2025-05-23 08:22,,-
Elektronik,GOPAY,"9,262",2025-05-23 00:07,YouTube ,-
Kirim Saldo,BANK BRI,"30,628",2025-05-23 00:06,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"30,628",2025-05-23 00:06,Dari BANK BRI,+
Ayang,SHOPEE PAY,"74,324",2025-05-23 00:06,Domain Undangan Digital ,-
Belanja,MANDIRI,"155,984",2025-05-23 00:05,Mingguan ,-
Makanan,DOMPET,"149,000",2025-05-23 00:04,,-
Utang,MANDIRI,"200,000",2025-05-23 00:04,Kredivo,-
Beri Pinjaman,BANK BNI,"3,150,000",2025-05-21 22:17,,-
Kirim Saldo,BANK BNI,"3,500,000",2025-05-21 22:15,Ke BANK BRI,-
Terima Saldo,BANK BRI,"3,500,000",2025-05-21 22:15,Dari BANK BNI,+
Biaya Admin,BANK BNI,"2,500",2025-05-21 22:15,Biaya Admin,-
Elektronik,BANK BNI,"350,000",2025-05-21 22:15,Xiaomi Band 9,-
Tabungan,BCA Blu,"5,000,000",2025-05-20 15:11,Dana Darurat,-
Kesehatan,SeaBank,"105,500",2025-05-19 12:54,BPJS MEI 2025,-
Belanja,MANDIRI,"139,300",2025-05-18 21:21,,-
Tabungan,BCA Blu,"303,177",2025-05-18 21:20,,-
Belanja,DOMPET,"284,000",2025-05-18 21:20,"Petai, Jajan. Pisang. Ongkos Mas Kawin DLL",-
Kirim Saldo,MANDIRI,"300,000",2025-05-18 21:14,Ke DOMPET,-
Terima Saldo,DOMPET,"300,000",2025-05-18 21:14,Dari MANDIRI,+
Bensin,DOMPET,"50,000",2025-05-18 21:08,,-
Ayang,BCA Blu,"400,000",2025-05-18 21:07,Dokumen Administrasi Nikah,-
Ayang,BANK BNI,"5,830,000",2025-05-18 21:06,Emas Kawin 10.6 Gram,-
Ortu,MANDIRI,"585,000",2025-05-16 12:13,Sarung BHS,-
Tagih Hutang,BANK BRI,"50,000",2025-05-13 20:01,,+
Kirim Saldo,DOMPET,"50,000",2025-05-13 20:00,Ke BANK BRI,-
Terima Saldo,BANK BRI,"50,000",2025-05-13 20:00,Dari DOMPET,+
Dapur,DOMPET,"27,000",2025-05-12 16:46,,-
Belanja,SHOPEE PAY,"41,000",2025-05-12 11:30,kain lap,-
Kirim Saldo,DOMPET,"39,200",2025-05-11 19:39,Ke BCA Blu,-
Terima Saldo,BCA Blu,"39,200",2025-05-11 19:39,Dari DOMPET,+
Kirim Saldo,DOMPET,"14,500",2025-05-11 19:38,Ke BANK BNI,-
Terima Saldo,BANK BNI,"14,500",2025-05-11 19:38,Dari DOMPET,+
Kirim Saldo,DOMPET,"14,300",2025-05-11 19:37,Ke BANK BRI,-
Terima Saldo,BANK BRI,"14,300",2025-05-11 19:37,Dari DOMPET,+
Kirim Saldo,MANDIRI,"41,200",2025-05-11 19:36,Ke BANK BRI,-
Terima Saldo,BANK BRI,"41,200",2025-05-11 19:36,Dari MANDIRI,+
Kirim Saldo,SHOPEE PAY,"23,000",2025-05-11 19:35,Ke BANK BRI,-
Terima Saldo,BANK BRI,"23,000",2025-05-11 19:35,Dari SHOPEE PAY,+
Tabungan,BCA Blu,"330,325",2025-05-11 19:19,Macbook,-
Belanja,DOMPET,"165,000",2025-05-11 19:16,Baju Kemeja Alisan,-
Kirim Saldo,MANDIRI,"500,000",2025-05-11 19:16,Ke DOMPET,-
Terima Saldo,DOMPET,"500,000",2025-05-11 19:16,Dari MANDIRI,+
Bensin,DOMPET,"50,000",2025-05-11 19:03,,-
Ayang,BANK BNI,"385,560",2025-05-11 19:02,Souvenir Nikah,-
Tabungan,BCA Blu,"653,802",2025-05-10 19:18,Dana Darurat ,-
Bensin,DOMPET,"50,000",2025-05-08 20:52,,-
Belanja,MANDIRI,"75,000",2025-05-08 20:52,Gas 3X daging,-
Belanja,DOMPET,"45,000",2025-05-08 20:51,Camilan,-
Kirim Saldo,BANK BNI,"1,000,000",2025-05-08 18:11,Ke DOMPET,-
Terima Saldo,DOMPET,"1,000,000",2025-05-08 18:11,Dari BANK BNI,+
Makanan,MANDIRI,"28,600",2025-05-07 18:32,,-
Gaji Cempor,BANK BNI,"1,500,000",2025-05-07 00:31,Talent ,+
Ayang,BANK BRI,"2,000,000",2025-05-07 00:30,Serahan,-
